/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=65536 device=cuda
step=00001/2000 loss=108.952675 tensor_mse=43.351597 delta_mse=655.910767 cos=-0.0000 rel=60.4720
step=00010/2000 loss=17.976994 tensor_mse=11.874005 delta_mse=60.929886 cos=0.0000 rel=30.9675
step=00020/2000 loss=1.337535 tensor_mse=1.210093 delta_mse=1.174430 cos=0.0001 rel=11.2591
step=00030/2000 loss=0.286820 tensor_mse=0.262503 delta_mse=0.143158 cos=-0.0000 rel=6.8100
step=00040/2000 loss=0.109372 tensor_mse=0.097488 delta_mse=0.018864 cos=0.0002 rel=4.5275
step=00050/2000 loss=0.080315 tensor_mse=0.069994 delta_mse=0.003230 cos=0.0002 rel=2.8198
step=00060/2000 loss=0.064772 tensor_mse=0.054705 delta_mse=0.000680 cos=0.0001 rel=2.0445
step=00070/2000 loss=0.061590 tensor_mse=0.051578 delta_mse=0.000170 cos=0.0005 rel=1.5746
step=00080/2000 loss=0.055749 tensor_mse=0.045749 delta_mse=0.000042 cos=0.0004 rel=1.3370
step=00090/2000 loss=0.050446 tensor_mse=0.040450 delta_mse=0.000015 cos=0.0006 rel=1.2463
step=00100/2000 loss=0.053298 tensor_mse=0.043305 delta_mse=0.000010 cos=0.0008 rel=1.1745
step=00110/2000 loss=0.054239 tensor_mse=0.044246 delta_mse=0.000009 cos=0.0008 rel=1.1476
step=00120/2000 loss=0.053623 tensor_mse=0.043632 delta_mse=0.000007 cos=0.0009 rel=1.1351
step=00130/2000 loss=0.048201 tensor_mse=0.038213 delta_mse=0.000004 cos=0.0012 rel=1.1402
step=00140/2000 loss=0.047924 tensor_mse=0.037937 delta_mse=0.000004 cos=0.0013 rel=1.1313
step=00150/2000 loss=0.053567 tensor_mse=0.043574 delta_mse=0.000020 cos=0.0008 rel=1.2945
step=00160/2000 loss=0.051140 tensor_mse=0.041153 delta_mse=0.000006 cos=0.0013 rel=1.1276
step=00170/2000 loss=0.053085 tensor_mse=0.043098 delta_mse=0.000006 cos=0.0014 rel=1.1091
step=00180/2000 loss=0.052856 tensor_mse=0.042871 delta_mse=0.000006 cos=0.0016 rel=1.0933
step=00190/2000 loss=0.048712 tensor_mse=0.038729 delta_mse=0.000004 cos=0.0017 rel=1.1145
step=00200/2000 loss=0.047128 tensor_mse=0.037147 delta_mse=0.000003 cos=0.0018 rel=1.0947
step=00210/2000 loss=0.047384 tensor_mse=0.037403 delta_mse=0.000003 cos=0.0019 rel=1.1004
step=00220/2000 loss=0.048104 tensor_mse=0.038124 delta_mse=0.000003 cos=0.0020 rel=1.0807
step=00230/2000 loss=0.052337 tensor_mse=0.042355 delta_mse=0.000005 cos=0.0019 rel=1.0808
step=00240/2000 loss=0.051968 tensor_mse=0.041988 delta_mse=0.000005 cos=0.0020 rel=1.0908
step=00250/2000 loss=0.046899 tensor_mse=0.036923 delta_mse=0.000002 cos=0.0024 rel=1.0823
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-250
step=00260/2000 loss=0.047850 tensor_mse=0.037873 delta_mse=0.000003 cos=0.0023 rel=1.1102
step=00270/2000 loss=0.049489 tensor_mse=0.039510 delta_mse=0.000004 cos=0.0021 rel=1.0733
