/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=41472 device=cuda
step=00001/3000 loss=118.390846 tensor_mse=42.923515 delta_mse=614.855713 delta_rel=642591360.0000 delta_rel_loss=20.2810 cos=0.0001 rel=45.7176 norm_ratio=45.7067
step=00010/3000 loss=58.046761 tensor_mse=11.371286 delta_mse=62.168808 delta_rel=29557632.0000 delta_rel_loss=17.2019 cos=0.0003 rel=23.1971 norm_ratio=23.1758
step=00020/3000 loss=28.206024 tensor_mse=1.726612 delta_mse=1.118676 delta_rel=1744069.5000 delta_rel_loss=14.3717 cos=0.0002 rel=9.3320 norm_ratio=9.2785
step=00030/3000 loss=18.679714 tensor_mse=0.529811 delta_mse=0.070531 delta_rel=93874.5234 delta_rel_loss=11.4497 cos=0.0003 rel=4.9406 norm_ratio=4.8386
step=00040/3000 loss=14.047388 tensor_mse=0.217247 delta_mse=0.007932 delta_rel=9945.3633 delta_rel_loss=9.2050 cos=0.0007 rel=3.0842 norm_ratio=2.9182
step=00050/3000 loss=11.194050 tensor_mse=0.124759 delta_mse=0.001709 delta_rel=1039.7595 delta_rel_loss=6.9477 cos=0.0007 rel=2.1695 norm_ratio=1.9260
step=00060/3000 loss=10.450662 tensor_mse=0.083487 delta_mse=0.000543 delta_rel=814.3605 delta_rel_loss=6.7036 cos=0.0007 rel=1.8338 norm_ratio=1.5378
step=00070/3000 loss=9.334210 tensor_mse=0.066090 delta_mse=0.000206 delta_rel=204.6399 delta_rel_loss=5.3261 cos=0.0011 rel=1.5725 norm_ratio=1.2147
step=00080/3000 loss=8.616141 tensor_mse=0.059148 delta_mse=0.000106 delta_rel=72.0844 delta_rel_loss=4.2916 cos=0.0012 rel=1.4174 norm_ratio=1.0057
step=00090/3000 loss=8.696685 tensor_mse=0.051859 delta_mse=0.000065 delta_rel=95.8547 delta_rel_loss=4.5732 cos=0.0016 rel=1.3595 norm_ratio=0.9226
step=00100/3000 loss=8.408973 tensor_mse=0.049084 delta_mse=0.000046 delta_rel=57.1839 delta_rel_loss=4.0636 cos=0.0017 rel=1.3081 norm_ratio=0.8450
