[residual] loading 16 LoRAs to compute mean template...
[mean_template_baseline] cos=0.9310 rel=0.3659 mse=0.000070
/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae_residual] dataset=16 num_pairs=80 rank=64 latent_dim=41472 device=cuda
step=00001/10000 loss=0.000051 mse=0.000051 cos=0.0000 rel=1.0014 nr=0.0530 fcos=0.9434 frel=0.3318 fnr=0.9365
step=00010/10000 loss=0.000097 mse=0.000097 cos=-0.0020 rel=1.4649 nr=1.0685 fcos=0.9005 frel=0.4521 fnr=1.0244
step=00020/10000 loss=0.000064 mse=0.000064 cos=-0.0012 rel=1.1499 nr=0.5665 fcos=0.9277 frel=0.3763 fnr=0.9750
step=00030/10000 loss=0.000049 mse=0.000049 cos=-0.0036 rel=1.0671 nr=0.3687 fcos=0.9442 frel=0.3320 fnr=0.9850
step=00040/10000 loss=0.000070 mse=0.000070 cos=-0.0069 rel=1.0243 nr=0.2149 fcos=0.9292 frel=0.3697 fnr=0.9216
step=00050/10000 loss=0.000073 mse=0.000073 cos=-0.0043 rel=1.0112 nr=0.1456 fcos=0.9282 frel=0.3727 fnr=0.9054
step=00060/10000 loss=0.000068 mse=0.000068 cos=-0.0144 rel=1.0083 nr=0.1157 fcos=0.9315 frel=0.3640 fnr=0.9193
step=00070/10000 loss=0.000043 mse=0.000043 cos=-0.0110 rel=1.0103 nr=0.1332 fcos=0.9498 frel=0.3143 fnr=0.9793
step=00080/10000 loss=0.000043 mse=0.000043 cos=-0.0201 rel=1.0095 nr=0.1194 fcos=0.9504 frel=0.3116 fnr=0.9706
step=00090/10000 loss=0.000071 mse=0.000071 cos=-0.0016 rel=1.0048 nr=0.0965 fcos=0.9303 frel=0.3677 fnr=0.9065
step=00100/10000 loss=0.000067 mse=0.000067 cos=-0.0087 rel=1.0056 nr=0.0981 fcos=0.9342 frel=0.3576 fnr=0.9109
step=00110/10000 loss=0.000046 mse=0.000046 cos=-0.0046 rel=1.0072 nr=0.1156 fcos=0.9478 frel=0.3197 fnr=0.9712
step=00120/10000 loss=0.000044 mse=0.000044 cos=-0.0182 rel=1.0094 nr=0.1206 fcos=0.9492 frel=0.3154 fnr=0.9706
step=00130/10000 loss=0.000057 mse=0.000057 cos=0.0101 rel=1.0046 nr=0.1071 fcos=0.9381 frel=0.3464 fnr=0.9331
step=00140/10000 loss=0.000067 mse=0.000067 cos=-0.0330 rel=1.0085 nr=0.1018 fcos=0.9338 frel=0.3586 fnr=0.9106
step=00150/10000 loss=0.000071 mse=0.000071 cos=-0.0078 rel=1.0057 nr=0.0995 fcos=0.9301 frel=0.3680 fnr=0.9062
step=00160/10000 loss=0.000041 mse=0.000041 cos=-0.0273 rel=1.0110 nr=0.1242 fcos=0.9527 frel=0.3044 fnr=0.9721
step=00170/10000 loss=0.000060 mse=0.000060 cos=-0.0280 rel=1.0092 nr=0.1106 fcos=0.9368 frel=0.3503 fnr=0.9206
step=00180/10000 loss=0.000041 mse=0.000041 cos=-0.0096 rel=1.0104 nr=0.1355 fcos=0.9528 frel=0.3042 fnr=0.9725
step=00190/10000 loss=0.000067 mse=0.000067 cos=-0.0267 rel=1.0080 nr=0.1032 fcos=0.9315 frel=0.3639 fnr=0.9193
step=00200/10000 loss=0.000043 mse=0.000043 cos=-0.0199 rel=1.0112 nr=0.1317 fcos=0.9503 frel=0.3121 fnr=0.9707
step=00210/10000 loss=0.000040 mse=0.000040 cos=0.0069 rel=1.0080 nr=0.1340 fcos=0.9530 frel=0.3035 fnr=0.9719
step=00220/10000 loss=0.000047 mse=0.000047 cos=-0.0190 rel=1.0114 nr=0.1338 fcos=0.9474 frel=0.3210 fnr=0.9719
step=00230/10000 loss=0.000052 mse=0.000052 cos=-0.0009 rel=1.0069 nr=0.1164 fcos=0.9427 frel=0.3336 fnr=0.9371
step=00240/10000 loss=0.000072 mse=0.000072 cos=-0.0265 rel=1.0082 nr=0.1043 fcos=0.9298 frel=0.3689 fnr=0.9062
step=00250/10000 loss=0.000041 mse=0.000041 cos=-0.0173 rel=1.0125 nr=0.1425 fcos=0.9526 frel=0.3049 fnr=0.9720
step=00260/10000 loss=0.000067 mse=0.000067 cos=0.0050 rel=1.0064 nr=0.1180 fcos=0.9318 frel=0.3633 fnr=0.9199
step=00270/10000 loss=0.000052 mse=0.000052 cos=-0.0193 rel=1.0108 nr=0.1296 fcos=0.9422 frel=0.3349 fnr=0.9377
step=00280/10000 loss=0.000054 mse=0.000054 cos=-0.0095 rel=1.0084 nr=0.1210 fcos=0.9406 frel=0.3395 fnr=0.9374
step=00290/10000 loss=0.000054 mse=0.000054 cos=-0.0048 rel=1.0080 nr=0.1221 fcos=0.9407 frel=0.3393 fnr=0.9376
step=00300/10000 loss=0.000052 mse=0.000052 cos=-0.0183 rel=1.0105 nr=0.1281 fcos=0.9423 frel=0.3348 fnr=0.9370
step=00310/10000 loss=0.000071 mse=0.000071 cos=0.0112 rel=1.0046 nr=0.1079 fcos=0.9303 frel=0.3676 fnr=0.9065
step=00320/10000 loss=0.000068 mse=0.000068 cos=-0.0278 rel=1.0100 nr=0.1169 fcos=0.9312 frel=0.3646 fnr=0.9193
step=00330/10000 loss=0.000052 mse=0.000052 cos=-0.0212 rel=1.0128 nr=0.1406 fcos=0.9420 frel=0.3356 fnr=0.9377
step=00340/10000 loss=0.000057 mse=0.000057 cos=0.0187 rel=1.0053 nr=0.1240 fcos=0.9380 frel=0.3467 fnr=0.9329
step=00350/10000 loss=0.000048 mse=0.000048 cos=-0.0227 rel=1.0132 nr=0.1419 fcos=0.9450 frel=0.3274 fnr=0.9588
step=00360/10000 loss=0.000058 mse=0.000058 cos=-0.0226 rel=1.0112 nr=0.1291 fcos=0.9372 frel=0.3487 fnr=0.9338
step=00370/10000 loss=0.000047 mse=0.000047 cos=-0.0113 rel=1.0117 nr=0.1422 fcos=0.9474 frel=0.3211 fnr=0.9721
step=00380/10000 loss=0.000060 mse=0.000060 cos=-0.0308 rel=1.0112 nr=0.1224 fcos=0.9365 frel=0.3510 fnr=0.9204
step=00390/10000 loss=0.000067 mse=0.000067 cos=0.0050 rel=1.0087 nr=0.1375 fcos=0.9337 frel=0.3587 fnr=0.9116
step=00400/10000 loss=0.000047 mse=0.000047 cos=-0.0129 rel=1.0126 nr=0.1471 fcos=0.9473 frel=0.3214 fnr=0.9718
step=00410/10000 loss=0.000041 mse=0.000041 cos=-0.0234 rel=1.0160 nr=0.1578 fcos=0.9523 frel=0.3059 fnr=0.9723
step=00420/10000 loss=0.000054 mse=0.000054 cos=-0.0112 rel=1.0108 nr=0.1368 fcos=0.9403 frel=0.3403 fnr=0.9376
step=00430/10000 loss=0.000045 mse=0.000045 cos=-0.0168 rel=1.0133 nr=0.1474 fcos=0.9488 frel=0.3166 fnr=0.9707
step=00440/10000 loss=0.000072 mse=0.000072 cos=-0.0014 rel=1.0074 nr=0.1202 fcos=0.9288 frel=0.3713 fnr=0.9047
step=00450/10000 loss=0.000044 mse=0.000044 cos=0.0028 rel=1.0102 nr=0.1458 fcos=0.9491 frel=0.3157 fnr=0.9708
step=00460/10000 loss=0.000047 mse=0.000047 cos=-0.0161 rel=1.0135 nr=0.1499 fcos=0.9472 frel=0.3217 fnr=0.9720
step=00470/10000 loss=0.000072 mse=0.000072 cos=0.0047 rel=1.0076 nr=0.1283 fcos=0.9298 frel=0.3687 fnr=0.9066
step=00480/10000 loss=0.000068 mse=0.000068 cos=-0.0254 rel=1.0108 nr=0.1243 fcos=0.9311 frel=0.3649 fnr=0.9193
step=00490/10000 loss=0.000041 mse=0.000041 cos=-0.0155 rel=1.0153 nr=0.1609 fcos=0.9523 frel=0.3057 fnr=0.9722
step=00500/10000 loss=0.000067 mse=0.000067 cos=0.0047 rel=1.0084 nr=0.1344 fcos=0.9315 frel=0.3640 fnr=0.9200
step=00510/10000 loss=0.000047 mse=0.000047 cos=-0.0084 rel=1.0134 nr=0.1558 fcos=0.9462 frel=0.3238 fnr=0.9546
step=00520/10000 loss=0.000058 mse=0.000058 cos=-0.0245 rel=1.0147 nr=0.1491 fcos=0.9368 frel=0.3499 fnr=0.9336
step=00530/10000 loss=0.000044 mse=0.000044 cos=0.0195 rel=1.0093 nr=0.1578 fcos=0.9492 frel=0.3154 fnr=0.9706
step=00540/10000 loss=0.000041 mse=0.000041 cos=-0.0138 rel=1.0156 nr=0.1641 fcos=0.9523 frel=0.3058 fnr=0.9724
step=00550/10000 loss=0.000072 mse=0.000072 cos=0.0101 rel=1.0079 nr=0.1367 fcos=0.9298 frel=0.3688 fnr=0.9070
step=00560/10000 loss=0.000047 mse=0.000047 cos=-0.0195 rel=1.0153 nr=0.1572 fcos=0.9460 frel=0.3244 fnr=0.9549
step=00570/10000 loss=0.000068 mse=0.000068 cos=-0.0303 rel=1.0126 nr=0.1315 fcos=0.9332 frel=0.3601 fnr=0.9110
step=00580/10000 loss=0.000043 mse=0.000043 cos=0.0030 rel=1.0123 nr=0.1605 fcos=0.9496 frel=0.3150 fnr=0.9793
step=00590/10000 loss=0.000068 mse=0.000068 cos=-0.0230 rel=1.0119 nr=0.1333 fcos=0.9310 frel=0.3653 fnr=0.9198
step=00600/10000 loss=0.000044 mse=0.000044 cos=-0.0203 rel=1.0178 nr=0.1703 fcos=0.9490 frel=0.3167 fnr=0.9800
step=00610/10000 loss=0.000046 mse=0.000046 cos=0.0093 rel=1.0118 nr=0.1635 fcos=0.9463 frel=0.3233 fnr=0.9550
